travelCode,userCode,from,to,flightType,price,time,distance,agency,date
86125,848,Natal (RN),Sao Paulo (SP),economic,623.33,0.85,327.55,CloudFy,2022-03-03
122254,1212,Florianopolis (SC),Campo Grande (MS),firstClass,949.58,1.49,573.81,CloudFy,2022-03-03
102467,1015,Florianopolis (SC),Brasilia (DF),firstClass,1097.17,1.66,637.56,FlyingDrops,2022-03-03
54557,532,Campo Grande (MS),Recife (PE),firstClass,1262.23,1.39,535.4,FlyingDrops,2022-03-03
123065,1219,Florianopolis (SC),Aracaju (SE),premium,1248.7,2.1,808.85,Rainbow,2022-03-03
94136,930,Florianopolis (SC),Sao Paulo (SP),firstClass,693.51,1.46,562.14,CloudFy,2022-03-03
94303,931,Florianopolis (SC),Sao Paulo (SP),economic,427.0,1.46,562.14,Rainbow,2022-03-03
5702,56,Recife (PE),Rio de Janeiro (RJ),firstClass,1612.39,2.3,885.57,CloudFy,2022-03-03
12292,119,Brasilia (DF),Rio de Janeiro (RJ),firstClass,649.64,0.48,183.37,CloudFy,2022-03-03
51734,502,Campo Grande (MS),Natal (RN),firstClass,778.01,0.65,250.68,Rainbow,2022-03-03
52657,510,Campo Grande (MS),Florianopolis (SC),economic,764.53,1.49,573.81,Rainbow,2022-03-03
34665,330,Aracaju (SE),Recife (PE),premium,835.21,1.44,555.74,CloudFy,2022-03-03
126151,1248,Florianopolis (SC),Brasilia (DF),firstClass,1097.17,1.66,637.56,FlyingDrops,2022-03-03
127296,1256,Florianopolis (SC),Recife (PE),firstClass,1300.6,1.76,676.53,CloudFy,2022-03-03
30097,287,Recife (PE),Sao Paulo (SP),premium,670.13,1.26,486.52,Rainbow,2022-03-03
121113,1201,Florianopolis (SC),Recife (PE),premium,1013.4,1.76,676.53,Rainbow,2022-03-03
38913,372,Recife (PE),Campo Grande (MS),firstClass,1069.12,1.39,535.4,Rainbow,2022-03-03
129891,1279,Florianopolis (SC),Aracaju (SE),firstClass,1574.28,2.1,808.85,FlyingDrops,2022-03-03
22766,222,Brasilia (DF),Salvador (BH),premium,1346.6,1.76,676.56,CloudFy,2022-03-03
33927,325,Aracaju (SE),Natal (RN),economic,332.1,0.46,176.33,CloudFy,2022-03-03
66514,645,Campo Grande (MS),Recife (PE),firstClass,1244.73,1.39,535.4,CloudFy,2022-03-03
949,8,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,2022-03-03
115561,1148,Florianopolis (SC),Salvador (BH),premium,1367.88,2.44,937.77,Rainbow,2022-03-03
77720,755,Aracaju (SE),Sao Paulo (SP),firstClass,756.3,1.02,392.76,FlyingDrops,2022-03-03
46620,453,Campo Grande (MS),Sao Paulo (SP),firstClass,684.65,0.44,168.22,FlyingDrops,2022-03-03
73164,710,Sao Paulo (SP),Rio de Janeiro (RJ),premium,861.9,0.86,331.89,Rainbow,2022-03-03
96554,955,Florianopolis (SC),Natal (RN),firstClass,1348.79,1.84,709.37,FlyingDrops,2022-03-03
68396,662,Aracaju (SE),Campo Grande (MS),premium,1116.83,1.69,650.1,Rainbow,2022-03-03
