travelCode,userCode,from,to,flightType,price,time,distance,agency,date
96359,952,Florianopolis (SC),Sao Paulo (SP),economic,427.0,1.46,562.14,Rainbow,2022-12-01
591,4,Brasilia (DF),Recife (PE),firstClass,772.21,0.63,242.21,Rainbow,2022-12-01
102708,1019,Florianopolis (SC),Campo Grande (MS),firstClass,949.58,1.49,573.81,CloudFy,2022-12-01
101259,1004,Florianopolis (SC),Brasilia (DF),firstClass,1127.36,1.66,637.56,CloudFy,2022-12-01
19010,186,Recife (PE),Sao Paulo (SP),economic,513.06,1.26,486.52,CloudFy,2022-12-01
120691,1196,Florianopolis (SC),Salvador (BH),premium,1311.38,2.44,937.77,CloudFy,2022-12-01
9286,93,Brasilia (DF),Rio de Janeiro (RJ),firstClass,539.39,0.48,183.37,FlyingDrops,2022-12-01
59007,573,Campo Grande (MS),Sao Paulo (SP),premium,441.34,0.44,168.22,Rainbow,2022-12-01
92662,914,Florianopolis (SC),Rio de Janeiro (RJ),economic,313.62,1.21,466.3,CloudFy,2022-12-01
73696,714,Sao Paulo (SP),Recife (PE),premium,1145.72,1.26,486.52,Rainbow,2022-12-01
60879,587,Campo Grande (MS),Aracaju (SE),economic,886.9,1.69,650.1,CloudFy,2022-12-01
86565,852,Natal (RN),Salvador (BH),firstClass,1744.87,1.85,710.57,FlyingDrops,2022-12-01
123537,1222,Florianopolis (SC),Rio de Janeiro (RJ),firstClass,624.89,1.21,466.3,FlyingDrops,2022-12-01
62900,612,Campo Grande (MS),Sao Paulo (SP),economic,381.83,0.44,168.22,Rainbow,2022-12-01
72585,705,Sao Paulo (SP),Brasilia (DF),premium,586.06,0.67,257.81,Rainbow,2022-12-01
92124,908,Florianopolis (SC),Natal (RN),premium,1128.51,1.84,709.37,CloudFy,2022-12-01
34531,329,Recife (PE),Brasilia (DF),firstClass,721.93,0.63,242.21,Rainbow,2022-12-01
77893,756,Sao Paulo (SP),Rio de Janeiro (RJ),firstClass,1041.65,0.86,331.89,FlyingDrops,2022-12-01
14915,148,Recife (PE),Aracaju (SE),economic,663.23,1.44,555.74,Rainbow,2022-12-01
111731,1105,Florianopolis (SC),Campo Grande (MS),economic,478.02,1.49,573.81,CloudFy,2022-12-01
11840,115,Aracaju (SE),Sao Paulo (SP),economic,446.73,1.02,392.76,Rainbow,2022-12-01
92463,912,Florianopolis (SC),Salvador (BH),premium,1367.88,2.44,937.77,Rainbow,2022-12-01
71312,690,Aracaju (SE),Brasilia (DF),firstClass,959.29,1.11,425.98,Rainbow,2022-12-01
111533,1104,Florianopolis (SC),Aracaju (SE),firstClass,1582.1,2.1,808.85,Rainbow,2022-12-01
30136,287,Brasilia (DF),Rio de Janeiro (RJ),premium,440.69,0.48,183.37,Rainbow,2022-12-01
86164,848,Sao Paulo (SP),Recife (PE),firstClass,1533.42,1.26,486.52,CloudFy,2022-12-01
24337,237,Aracaju (SE),Brasilia (DF),economic,548.62,1.11,425.98,Rainbow,2022-12-01
1604,13,Brasilia (DF),Campo Grande (MS),economic,629.54,0.72,277.7,Rainbow,2022-12-01
87562,864,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1183.57,1.55,597.61,CloudFy,2022-12-01
50528,491,Campo Grande (MS),Recife (PE),economic,674.16,1.39,535.4,Rainbow,2022-12-01
2459,21,Aracaju (SE),Sao Paulo (SP),firstClass,752.27,1.02,392.76,Rainbow,2022-12-01
8996,90,Brasilia (DF),Natal (RN),firstClass,1434.91,1.43,550.69,Rainbow,2022-12-01
114167,1135,Florianopolis (SC),Natal (RN),firstClass,1348.79,1.84,709.37,FlyingDrops,2022-12-01
12331,119,Aracaju (SE),Natal (RN),economic,380.32,0.46,176.33,Rainbow,2022-12-01
78673,763,Sao Paulo (SP),Campo Grande (MS),firstClass,595.09,0.44,168.22,Rainbow,2022-12-01
18653,183,Aracaju (SE),Campo Grande (MS),premium,1116.83,1.69,650.1,Rainbow,2022-12-01
34132,326,Aracaju (SE),Natal (RN),firstClass,598.61,0.46,176.33,CloudFy,2022-12-01
40382,389,Recife (PE),Salvador (BH),economic,861.68,2.05,788.55,Rainbow,2022-12-01
59345,575,Campo Grande (MS),Salvador (BH),firstClass,1114.75,1.36,522.34,Rainbow,2022-12-01
28787,274,Aracaju (SE),Brasilia (DF),firstClass,898.04,1.11,425.98,FlyingDrops,2022-12-01
106422,1056,Florianopolis (SC),Salvador (BH),firstClass,1692.64,2.44,937.77,FlyingDrops,2022-12-01
28178,268,Brasilia (DF),Sao Paulo (SP),economic,533.8,0.67,257.81,Rainbow,2022-12-01
103433,1026,Florianopolis (SC),Sao Paulo (SP),firstClass,738.8,1.46,562.14,Rainbow,2022-12-01
120870,1197,Florianopolis (SC),Salvador (BH),economic,898.67,2.44,937.77,CloudFy,2022-12-01
115423,1147,Florianopolis (SC),Brasilia (DF),premium,814.55,1.66,637.56,Rainbow,2022-12-01
99971,992,Florianopolis (SC),Sao Paulo (SP),economic,427.0,1.46,562.14,Rainbow,2022-12-01
37968,362,Aracaju (SE),Campo Grande (MS),premium,1116.83,1.69,650.1,Rainbow,2022-12-01
51773,502,Campo Grande (MS),Brasilia (DF),firstClass,949.99,0.72,277.7,CloudFy,2022-12-01
126626,1252,Florianopolis (SC),Campo Grande (MS),firstClass,857.32,1.49,573.81,Rainbow,2022-12-01
49217,482,Campo Grande (MS),Rio de Janeiro (RJ),firstClass,1614.7,2.09,806.48,CloudFy,2022-12-01
131464,1293,Florianopolis (SC),Brasilia (DF),economic,555.01,1.66,637.56,Rainbow,2022-12-01
103026,1022,Florianopolis (SC),Recife (PE),economic,695.3,1.76,676.53,Rainbow,2022-12-01
114441,1138,Florianopolis (SC),Aracaju (SE),economic,819.41,2.1,808.85,Rainbow,2022-12-01
42377,412,Aracaju (SE),Brasilia (DF),economic,472.72,1.11,425.98,CloudFy,2022-12-01
127477,1257,Florianopolis (SC),Rio de Janeiro (RJ),premium,469.92,1.21,466.3,CloudFy,2022-12-01
12951,126,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1189.86,1.55,597.61,Rainbow,2022-12-01
89115,879,Sao Paulo (SP),Salvador (BH),firstClass,1400.35,1.04,401.66,Rainbow,2022-12-01
37664,357,Aracaju (SE),Sao Paulo (SP),firstClass,752.27,1.02,392.76,Rainbow,2022-12-01
81202,789,Natal (RN),Brasilia (DF),firstClass,1286.63,1.43,550.69,Rainbow,2022-12-01
47645,461,Campo Grande (MS),Rio de Janeiro (RJ),economic,946.55,2.09,806.48,Rainbow,2022-12-01
52969,512,Campo Grande (MS),Salvador (BH),economic,621.36,1.36,522.34,CloudFy,2022-12-01
4070,40,Brasilia (DF),Aracaju (SE),premium,987.07,1.11,425.98,CloudFy,2022-12-01
88932,878,Natal (RN),Brasilia (DF),firstClass,1192.62,1.43,550.69,FlyingDrops,2022-12-01
100722,1001,Florianopolis (SC),Natal (RN),firstClass,1385.49,1.84,709.37,Rainbow,2022-12-01
89518,882,Aracaju (SE),Recife (PE),premium,835.21,1.44,555.74,CloudFy,2022-12-01
97421,962,Florianopolis (SC),Brasilia (DF),firstClass,1127.36,1.66,637.56,CloudFy,2022-12-01
1342,11,Recife (PE),Florianopolis (SC),premium,1074.75,1.76,676.53,CloudFy,2022-12-01
23999,234,Brasilia (DF),Rio de Janeiro (RJ),premium,457.95,0.48,183.37,CloudFy,2022-12-01
5741,56,Recife (PE),Brasilia (DF),economic,393.68,0.63,242.21,CloudFy,2022-12-01
392,3,Aracaju (SE),Campo Grande (MS),firstClass,1387.89,1.69,650.1,Rainbow,2022-12-01
115600,1148,Florianopolis (SC),Natal (RN),firstClass,1348.79,1.84,709.37,FlyingDrops,2022-12-01
