travelCode,userCode,from,to,flightType,price,time,distance,agency,date
25687,247,Recife (PE),Brasilia (DF),firstClass,697.22,0.63,242.21,FlyingDrops,2022-02-17
47791,462,Campo Grande (MS),Natal (RN),firstClass,778.01,0.65,250.68,Rainbow,2022-02-17
46771,454,Campo Grande (MS),Sao Paulo (SP),economic,375.51,0.44,168.22,CloudFy,2022-02-17
126784,1253,Florianopolis (SC),Aracaju (SE),economic,819.41,2.1,808.85,Rainbow,2022-02-17
2418,21,Brasilia (DF),Rio de Janeiro (RJ),firstClass,539.39,0.48,183.37,FlyingDrops,2022-02-17
78839,765,Sao Paulo (SP),Brasilia (DF),premium,602.12,0.67,257.81,CloudFy,2022-02-17
124402,1228,Florianopolis (SC),Rio de Janeiro (RJ),firstClass,549.55,1.21,466.3,Rainbow,2022-02-17
127105,1255,Florianopolis (SC),Natal (RN),firstClass,1385.49,1.84,709.37,Rainbow,2022-02-17
94685,935,Florianopolis (SC),Rio de Janeiro (RJ),firstClass,624.89,1.21,466.3,FlyingDrops,2022-02-17
116695,1156,Florianopolis (SC),Salvador (BH),firstClass,1630.75,2.44,937.77,Rainbow,2022-02-17
92820,915,Florianopolis (SC),Natal (RN),economic,780.68,1.84,709.37,Rainbow,2022-02-17
60123,582,Campo Grande (MS),Natal (RN),firstClass,778.01,0.65,250.68,Rainbow,2022-02-17
51075,497,Campo Grande (MS),Florianopolis (SC),economic,808.63,1.49,573.81,CloudFy,2022-02-17
23958,234,Aracaju (SE),Recife (PE),economic,602.49,1.44,555.74,Rainbow,2022-02-17
18838,185,Brasilia (DF),Campo Grande (MS),economic,583.6,0.72,277.7,CloudFy,2022-02-17
36650,349,Aracaju (SE),Salvador (BH),firstClass,1714.75,2.16,830.86,FlyingDrops,2022-02-17
10306,104,Aracaju (SE),Campo Grande (MS),economic,743.54,1.69,650.1,Rainbow,2022-02-17
122407,1213,Florianopolis (SC),Campo Grande (MS),firstClass,930.34,1.49,573.81,FlyingDrops,2022-02-17
126149,1248,Florianopolis (SC),Sao Paulo (SP),premium,577.76,1.46,562.14,Rainbow,2022-02-17
69337,671,Aracaju (SE),Brasilia (DF),economic,472.72,1.11,425.98,CloudFy,2022-02-17
60447,584,Campo Grande (MS),Rio de Janeiro (RJ),firstClass,1609.81,2.09,806.48,FlyingDrops,2022-02-17
66512,645,Campo Grande (MS),Florianopolis (SC),firstClass,1446.34,1.49,573.81,CloudFy,2022-02-17
68032,659,Aracaju (SE),Florianopolis (SC),firstClass,1515.79,2.1,808.85,CloudFy,2022-02-17
75312,731,Natal (RN),Sao Paulo (SP),economic,583.17,0.85,327.55,Rainbow,2022-02-17
110761,1097,Florianopolis (SC),Sao Paulo (SP),premium,554.87,1.46,562.14,CloudFy,2022-02-17
94491,933,Florianopolis (SC),Salvador (BH),premium,1311.38,2.44,937.77,CloudFy,2022-02-17
18969,186,Aracaju (SE),Natal (RN),firstClass,549.96,0.46,176.33,Rainbow,2022-02-17
34340,328,Brasilia (DF),Natal (RN),firstClass,1433.35,1.43,550.69,FlyingDrops,2022-02-17
58010,565,Campo Grande (MS),Recife (PE),premium,991.22,1.39,535.4,Rainbow,2022-02-17
128647,1268,Florianopolis (SC),Aracaju (SE),firstClass,1468.03,2.1,808.85,CloudFy,2022-02-17
26826,258,Brasilia (DF),Aracaju (SE),economic,654.88,1.11,425.98,CloudFy,2022-02-17
12910,126,Brasilia (DF),Campo Grande (MS),premium,831.7,0.72,277.7,CloudFy,2022-02-17
81161,789,Natal (RN),Recife (PE),firstClass,806.91,0.58,222.67,Rainbow,2022-02-17
90340,891,Florianopolis (SC),Rio de Janeiro (RJ),firstClass,585.77,1.21,466.3,CloudFy,2022-02-17
62859,612,Campo Grande (MS),Aracaju (SE),economic,886.9,1.69,650.1,CloudFy,2022-02-17
69971,677,Sao Paulo (SP),Brasilia (DF),premium,602.12,0.67,257.81,CloudFy,2022-02-17
7296,69,Brasilia (DF),Campo Grande (MS),premium,851.15,0.72,277.7,Rainbow,2022-02-17
129002,1270,Florianopolis (SC),Recife (PE),premium,918.66,1.76,676.53,CloudFy,2022-02-17
16860,168,Aracaju (SE),Salvador (BH),firstClass,1714.75,2.16,830.86,FlyingDrops,2022-02-17
121515,1204,Florianopolis (SC),Aracaju (SE),firstClass,1574.28,2.1,808.85,FlyingDrops,2022-02-17
55867,544,Campo Grande (MS),Brasilia (DF),economic,517.82,0.72,277.7,Rainbow,2022-02-17
